inputField,source,historicalOnlyAvailable,requiresFutureBlock,requiresFullSeason,requiresExternalFrozenArtifact,predictionTimeValid,parameterClass,notes
drblP / rawApproachB,attributeGamePlayerValue on early games,YES,NO,NO (features); R1 pool currently full-set in builders,NO,YES (with history-only R1 if rebuilt),RECOMPUTED_FROM_HISTORY_ONLY,Component EB200 applied inside finalize for display P; fusion uses early features
drblLn,"fitLineupModel(early lineup rows, λ=800)",YES,NO,NO for early-only fit,NO,YES,RECOMPUTED_FROM_HISTORY_ONLY,Published board also fits full-season LN; early LN used for fusion stack
drblB,"fitBehaviorModel(early behavior rows, λ=40)",YES,NO,NO for early-only fit,NO,YES,RECOMPUTED_FROM_HISTORY_ONLY,Null allowed when coverage missing; fusion hasB indicator
possessions / N,early or full-season accumulators,PARTIAL,NO,YES for published EB exposure n,NO,NO for published scalar (uses full-season n),REQUIRES_RESERVED_FUTURE,Published posterior uses full-season N; cutoff-evaluable EB would need early N (formula change of exposure term)
fusion targetPer100 (Y),late-block residual/100 within same season,NO,YES,NO (late block only),NO,NO,REQUIRES_RESERVED_FUTURE,Required by fitFusionOof — core leakage for reserved cutoff
fusion OOF / ridge betas,fitFusionOof(stackRows) within season,NO,YES,NO,NO for published path,NO,REQUIRES_RESERVED_FUTURE,"Hyperparams λ=8,folds=5 are FROZEN_PRE_RESERVED; coefficients are not"
"fusion hyperparams λ,folds",M16b freeze protocol,YES,NO,NO,YES (protocol freeze),YES,FROZEN_PRE_RESERVED,Constants only; do not yield predictions without Y-trained betas
fusion-2024-25 finalFit weights,reports/m15/freeze/fusion-2024-25.json,YES as artifact,NO for application,NO,YES,YES if harness existed,FROZEN_PRE_RESERVED,Fixed-fit harness NOT_IDENTIFIABLE / not part of frozen BASELINE evaluation procedure — cannot redefine B2 as this without changing baseline
EB priorStrength / priorMean,"ranking-config PRIOR_EQUIVALENT_POSSESSIONS=200, priorMean=0",YES,NO,NO,NO,YES,FROZEN_PRE_RESERVED,Fixed transform once fusedRateRaw and N are available
R1 replacement pool,buildReplacementPool from role accum,AMBIGUOUS in current builders,YES in current compute-season/m16c builders (full game set),YES as currently coded,NO,NO under current builders without code change,REQUIRES_RESERVED_FUTURE,History-only R1 would be allowed formula application but current BASELINE builders use full set — repairing builders would modify baseline path
calibration layer,none on BASELINE_M16A published rate,N/A,NO,NO,NO,YES,FROZEN_PRE_RESERVED,No post-EB affine calibration in BASELINE_M16A
