route,surface,current_data_provider,player_identity_shown,team_identity_shown,logo_shown,team_full_name_shown,team_abbreviation_shown,team_colors_shown,historical_identity_supported,DRBL_applicable,DRBL_currently_visible,R1_Points_visible,R1_WinEq_visible,DRBL_OD_visible,diagnostics_visible,support_notice_correct,external_metrics_visible,external_metric_hierarchy_appropriate,null_behavior_correct,mobile_audited,main_gap
/,home,NBA+DARKO+ESPN scoreboard,partial,partial,yes,partial,yes,partial,partial,no,no,no,no,no,no,n/a,yes,no_DARKO_first,n/a,no,DRBL absent; DARKO-first impact rail
/ask,ASK DRBL,query-engine ESPN boards,yes,optional,optional,optional,optional,no,partial,yes,no,no,no,no,no,partial,yes,no_no_DRBL,yes,no,No DRBL metrics in ASK
/scores,scores,ESPN scoreboard,no,yes,yes,partial,yes,partial,yes,no,no,no,no,no,no,n/a,no,n/a,yes,no,No impact metrics by design
/explore/games,games explore,provider games,no,yes,yes,partial,yes,partial,yes,no,no,no,no,no,no,n/a,no,n/a,yes,no,No DRBL by design
/games/[gameId],game destination,game lab,partial,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,n/a,no,n/a,yes,no,No game-level DRBL
/explore/players,player leaderboard,NBA board+DRBL overlay+DARKO,yes,yes,yes,no,yes_id_or_logo,no,yes,yes,yes,yes,yes,no,no,yes,yes,partial_DARKO_before_DRBL,mostly,partial,O/D diagnostics missing; desktop team full name weak
/players/[playerId],player destination,NBA career+season peers,yes,yes,yes,yes,yes,partial,yes,yes,no,no,no,no,no,partial,yes,no_DARKO_primary,partial,partial,DRBL not in core UI; ESPN id join miss
/players/[playerId]/season-rank,season rank,career analytics,yes,yes,yes,yes,yes,no,partial,yes,no,no,no,no,no,n/a,yes,n/a,yes,no,No DRBL ranking
/players/[playerId]/season-compare,season compare,career seasons,yes,yes,yes,yes,yes,no,partial,yes,no,no,no,no,no,n/a,yes,n/a,yes,no,No DRBL compare
/explore/teams,team boards,team season stats,no,yes,yes,partial,yes,partial,partial,no,no,no,no,no,no,n/a,no,n/a,yes,partial,No team DRBL; desktop full names incomplete
/teams/[teamId],team destination,team board+roster,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,partial,yes,no_DARKO_roster_value,yes,partial,Roster value=DARKO; no roster DRBL
/standings,standings,ESPN standings,no,yes,yes,partial,yes,no,partial,no,no,no,no,no,no,n/a,no,n/a,yes,no,Identity OK; no DRBL
/compare,compare,player/team compare,yes,yes,yes,partial,yes,no,partial,yes,no,no,no,no,no,n/a,yes,no_DARKO_led,yes,no,Compare ignores DRBL
/offseason,transactions,ESPN transactions,no,yes,yes,partial,yes,no,partial,no,no,no,no,no,no,n/a,no,n/a,yes,no,Provider ID collision risk historically noted
/learn,learn index,static,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,branding,no,no,no,no,n/a,n/a,n/a,n/a,no,No DRBL concept in registry
/learn/drbl,DRBL methodology,static,n/a,n/a,n/a,n/a,n/a,n/a,yes,yes,defs_only,defs_only,defs_only,no,no,yes,n/a,n/a,n/a,no,Missing O/D/P/LN/B and diagnostic warnings
/history,time machine,historical queries,partial,yes,partial,yes,yes,partial,yes,partial,no,no,no,no,no,banner,no,n/a,yes,no,No historical DRBL leaders
/franchises,franchise list,static lore,no,yes,yes,yes,yes,partial,yes,no,no,no,no,no,no,n/a,no,n/a,n/a,no,Franchise vs team-season not conflated but separate from /teams
/franchises/[id],franchise detail,static lore,no,yes,yes,yes,yes,partial,yes,no,no,no,no,no,no,n/a,no,n/a,n/a,no,No metrics
/dashboard,dashboard,player seasons slim,partial,partial,partial,no,yes,no,no,yes,no,no,no,no,no,n/a,partial,n/a,yes,no,Omits DRBL/DARKO
