issue_id,diagnostic_source,component,problem,root_cause,severity,classification,proposed_correction,mathematical_change,expected_downstream_effect,validation_required,status,use_m7_cv_c2_for_sdv
PM7-001,"m15/19 D1; m6_implementation; PLAN",M6/fusion,SDV/ShotMaking not in published calculation,M6 built standalone never wired,critical,confirmed_defect,Emit SDV/ShotMaking/V_cont/EPV_shoot as separate season fields; do not fuse into drbl100 yet,SDV=EPV_shoot-V_cont(C2); ShotMaking=Y-EPV_shoot,Atomic decision fields available; rankings of drbl100 unchanged by fusion,OOS component + leakage,FIXED_EMIT_NOT_FUSED,YES
PM7-002,"m7_research; shot-decision epvContinue",M6/continuation,C0 continue=M5 start-PPP at shot time,Wrong estimand,critical,confirmed_defect,Replace continue with M7-CV C2 V_cont,V_cont=E[remaining|S A≠shoot] via C2,Non-flat continue; SDV less≈shoot quality,Gate1/3 C2 vs C0,FIXED,YES
PM7-003,"m15/19 D3; replacement.ts",replacement,Approach B only not lineup swap,Spec prefers Approach A,high,product_decision,Keep Approach B with explicit label; Approach A deferred (underdetermined for this pass),None (document),Honesty in claims,Document + tests,LEFT_UNCHANGED_PRODUCT
PM7-004,"m15/19 D4; fusion.ts",fusion,Fusion Y=same-season residual/100,Internal target not predictive,high,confirmed_defect,Train stack on future chrono block residual target,Y=late-block residual/100; features from early block,drbl100 predicts future residual not same-sample fit,OOF MAE vs future block + before/after,FIXED,NO
PM7-005,"m15/19 D2; precomputed 50g",leaderboard/sample,50-game published boards,limit 50 compute,high,confirmed_defect,Recompute with full available season cache (no artificial 50 cap in remediation),N/A sample,Rank volatility ↓ if signal real,Full-season artifact vs baseline,FIXED_RECOMPUTE,NO
PM7-006,"m15/19 P2; player-value equal share",DRBL-P,Equal O/D five share dilutes creators,No involvement weighting,high,confirmed_defect,Involvement-weighted residual shares,w_i∝1+involvement; Σw share=residual,Stars/creators capture more P,Unit tests + before/after,FIXED,NO
PM7-007,"m15/19 §6; war.ts",WAR,Unstable calibrated claim vs sample size,Weak decision rule,high,confirmed_defect,Stricter calibration gate; keep 1/30 fallback explicit; require larger N,Publish β only if holdout beats 1/30 and n_teams/games sufficient,Fewer false calibrated=true,WAR artifact flags,FIXED,NO
PM7-008,"m15/19 D5; behavior.ts",DRBL-B,Post-game box features invalid for live,post_game_only features,high,limitation,Label B retrospective-only; keep in retrospective fusion with provenance,No live claim,Site honesty,Provenance flag in artifact,FIXED_LABEL,NO
PM7-009,"m15/19 D6",validation,No multi-season reserved test / bakeoff,Harness absent,high,limitation,Document; bakeoff deferred (out of scope for calc fix),None,None this pass,Report limitation,LEFT_UNCHANGED_LIMITATION,NO
PM7-010,"m15/19 D7",atomic fields,Passing/SDV/making/TO/rebound missing as fields,Not emitted,high,confirmed_defect,Emit SDV+ShotMaking (+EPV_shoot V_cont); other atomics still deferred,Same as PM7-001,Partial atomic coverage,Field presence tests,FIXED_PARTIAL,YES
PM7-011,"m15/19 P5; fusion simplex",fusion,LN≈0 on residual target,Y≈P residual,medium,research_question,Re-evaluate after PM7-004 future target; do not hand-tune,Weights re-fit on new Y,Possible LN weight change,OOF ablation,ADDRESSED_VIA_PM7-004,NO
PM7-012,"m15 shrinkage; player-value k=200",shrinkage,Fixed k=200 untested,Hardcoded EB,medium,research_question,Keep k=200 until OOF miscalibration shown,None,None,Monitor,LEFT_UNCHANGED_RESEARCH,NO
PM7-013,"m15 M5; epv-model",M5,Coarse EPV state,Data limits,medium,limitation,Keep M5 for start-PPP; never as mid-poss continue,None for M5,Continue uses C2,M7-CV tests,LEFT_UNCHANGED_LIMITATION,PARTIAL
PM7-014,"replacement clamp",replacement,Asymmetric residual clamp,Heuristic,medium,product_decision,Keep clamp; document in remediation,None,Stability,Doc,LEFT_UNCHANGED_PRODUCT,NO
PM7-015,"m15 defense",DRBL-D,Equal-share D only,No optical D,medium,limitation,Involvement weighting helps slightly; full D module deferred,Share weights,Mild D redistribution,Ablation,PARTIAL_VIA_PM7-006,NO
PM7-016,"m15 LN association",DRBL-LN,Possible teammate association,RAPM-style,medium,research_question,No causal claim; LOO deferred,None,None,Honesty,LEFT_UNCHANGED_RESEARCH,NO
PM7-017,"behavior gravity",DRBL-B,Gravity is proxy,Public data,low,limitation,Keep Gravity Proxy label,None,None,Provenance,LEFT_UNCHANGED_LIMITATION,NO
PM7-018,"m6 make model",M6 shoot,Tiny gain vs bucket baseline,Model class,medium,limitation,Keep frozen M6 make for SDV shoot half,None,None,M6 OOS,LEFT_UNCHANGED_LIMITATION,NO
PM7-019,"m7 CDN no shot clock",data,No true shot clock,CDN PBP,high,limitation,Possession-age proxy in C2 only,age/24 proxy,Documented error,Leakage report,LEFT_UNCHANGED_LIMITATION,YES
PM7-020,"m7_cv C1 worsens SDV",M7-CV,C1 increases SDV↔shoot corr,Under-specified V,high,confirmed_defect,Prefer C2; reject C1 for production continue,Use C2 only,Better SDV separation,Baseline comparison,FIXED,YES
PM7-021,"m7_cv soft corr floor",M7-CV,C2 corr(remaining)≈0.11 <0.15 soft floor,Proxy limits,medium,research_question,Use C2 anyway vs C0; fusion still NO-GO,None extra,Partial,Report,ACCEPTED_WITH_CAVEAT,YES
PM7-022,"m7_cv fusion NO-GO",fusion,Do not fuse SDV into drbl100 yet,Incomplete gates,high,product_decision,Emit fields; fusion recommendation NO-GO,drbl100 without SDV weight,Separation preserved,Fusion memo,LEFT_UNCHANGED_NO_FUSION,YES
